G21 (metric ftw)
G90 (absolute mode)
G92 X0.00 Y0.00 Z0.00

M300 S30 (pen down)
G4 P150 (wait 150ms)
M300 S50 (pen up)
G4 P150 (wait 150ms)
M18 (disengage drives)
M01 (Was registration test successful?)
M17 (engage drives if YES, and continue)

(Polyline consisting of 1 segments.)
G1 X34.4 Y23.9 F3500.00
M300 S30.00 (pen down)
G4 P150 (wait 150ms)
G1 X34.3 Y25.6 F3500.00
G1 X34.2 Y26.3 F3500.00
G1 X34.1 Y26.9 F3500.00
G1 X34.0 Y27.3 F3500.00
G1 X33.9 Y27.7 F3500.00
G1 X33.8 Y28.1 F3500.00
G1 X33.7 Y28.4 F3500.00
G1 X33.6 Y28.7 F3500.00
G1 X33.5 Y29.0 F3500.00
G1 X33.4 Y29.3 F3500.00
G1 X33.3 Y29.6 F3500.00
G1 X33.2 Y29.8 F3500.00
G1 X33.1 Y30.0 F3500.00
G1 X33.0 Y30.3 F3500.00
G1 X32.9 Y30.5 F3500.00
G1 X32.8 Y30.7 F3500.00
G1 X32.7 Y30.9 F3500.00
G1 X32.6 Y31.1 F3500.00
G1 X32.5 Y31.3 F3500.00
G1 X32.4 Y31.4 F3500.00
G1 X32.3 Y31.6 F3500.00
G1 X32.2 Y31.8 F3500.00
G1 X32.1 Y31.9 F3500.00
G1 X32.0 Y32.1 F3500.00
G1 X31.9 Y32.3 F3500.00
G1 X31.8 Y32.4 F3500.00
G1 X31.7 Y32.6 F3500.00
G1 X31.6 Y32.7 F3500.00
G1 X31.5 Y32.8 F3500.00
G1 X31.4 Y33.0 F3500.00
G1 X31.3 Y33.1 F3500.00
G1 X31.2 Y33.2 F3500.00
G1 X31.1 Y33.4 F3500.00
G1 X31.0 Y33.5 F3500.00
G1 X30.9 Y33.6 F3500.00
G1 X30.8 Y33.7 F3500.00
G1 X30.7 Y33.9 F3500.00
G1 X30.6 Y34.0 F3500.00
G1 X30.5 Y34.1 F3500.00
G1 X30.4 Y34.2 F3500.00
G1 X30.3 Y34.3 F3500.00
G1 X30.2 Y34.4 F3500.00
G1 X30.1 Y34.5 F3500.00
G1 X30.0 Y34.6 F3500.00
G1 X29.9 Y34.7 F3500.00
G1 X29.8 Y34.8 F3500.00
G1 X29.7 Y34.9 F3500.00
G1 X29.6 Y35.0 F3500.00
G1 X29.5 Y35.1 F3500.00
G1 X29.4 Y35.2 F3500.00
G1 X29.3 Y35.3 F3500.00
G1 X29.2 Y35.4 F3500.00
G1 X29.1 Y35.5 F3500.00
G1 X29.0 Y35.6 F3500.00
